simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,59,49,43,26,37,35,41,44,45,42,45,33,30,49,28,52,41,20,26,48,16,48,44,52,43,25,46,54,53,57
1,64,43,49,34,35,39,36,45,46,40,56,33,37,45,24,45,40,24,20,54,21,46,43,50,46,26,42,50,44,54
2,69,42,42,25,34,42,36,42,39,41,48,35,33,54,19,44,43,22,24,54,22,52,48,50,40,25,48,50,52,56
3,61,48,48,27,42,37,38,44,37,42,51,36,34,47,26,38,40,23,18,52,22,46,46,56,48,22,43,52,48,59
4,65,46,41,23,33,34,34,40,44,42,50,42,32,47,20,48,50,18,27,53,25,42,48,54,51,23,42,55,47,55
5,62,47,40,23,38,41,39,42,44,35,50,36,39,52,21,46,38,28,19,51,19,52,41,51,50,18,48,54,52,55
6,69,46,41,32,36,38,43,39,34,43,47,38,34,50,17,45,44,24,26,51,21,45,43,50,51,20,48,50,56,50
7,66,49,48,26,45,38,39,39,40,45,45,41,31,50,20,46,41,23,20,51,22,54,46,47,51,18,45,44,48,53
8,68,43,44,25,34,41,35,44,46,45,47,34,36,48,23,43,41,23,29,47,21,48,39,51,46,22,49,52,51,56
9,70,44,49,25,37,37,35,43,40,47,45,39,35,50,22,41,45,29,17,52,23,48,44,47,45,26,47,50,44,55
10,61,51,44,28,32,31,42,33,47,48,46,34,36,52,25,48,43,22,26,54,23,46,50,48,47,21,36,55,46,56
11,60,47,51,30,37,39,37,43,39,49,54,35,30,50,19,47,41,22,19,50,27,40,41,52,48,23,46,48,50,57
12,62,59,42,24,42,40,38,40,42,39,50,32,34,45,26,45,39,27,19,50,20,48,40,50,46,23,46,51,50,62
13,62,50,47,29,36,39,37,36,44,46,47,38,36,50,22,40,43,26,25,48,24,52,42,45,47,20,45,49,44,62
14,57,51,39,23,31,36,39,40,48,45,47,35,33,49,26,45,45,27,26,52,18,47,43,52,46,21,48,50,59,53
15,65,48,47,28,37,35,42,42,43,41,51,34,38,47,20,41,47,25,29,52,18,49,42,50,45,20,41,48,50,56
16,62,47,45,32,33,36,36,39,43,40,50,33,36,53,27,42,39,23,22,57,23,49,43,48,46,20,48,48,50,61
17,63,47,39,31,34,33,38,43,42,39,50,35,32,52,26,47,50,20,21,45,25,51,44,51,43,25,47,51,52,55
18,64,46,41,26,37,32,38,37,46,40,49,40,31,48,27,46,43,27,25,56,18,44,40,52,50,27,40,53,52,56
19,61,43,52,29,40,36,34,35,42,40,46,40,34,49,23,50,44,24,25,55,22,49,44,48,46,25,39,47,52,57
20,62,46,47,25,31,34,37,41,33,41,55,39,38,50,22,45,41,24,18,54,25,46,41,54,52,24,46,55,56,49
21,61,44,49,26,34,37,37,39,42,44,52,34,31,49,25,48,42,19,25,50,23,54,47,52,48,26,44,46,49,54
22,62,42,44,26,34,29,40,39,46,43,43,40,36,49,21,40,43,24,29,53,29,48,41,56,53,18,43,57,52,51
23,65,42,48,25,36,43,37,40,42,43,54,35,32,54,22,48,45,20,27,45,22,50,39,53,43,20,50,57,44,50
24,62,44,47,22,36,29,37,43,39,45,53,40,30,51,24,44,38,24,22,49,25,54,46,49,47,21,48,55,52,55
25,64,38,46,19,36,34,42,35,37,44,44,40,35,56,22,44,35,24,25,54,24,44,47,54,52,24,47,55,50,60
26,65,47,48,24,33,39,39,42,49,42,45,32,37,52,18,46,41,24,24,57,20,42,39,51,51,21,52,49,47,55
27,65,46,39,32,37,35,36,40,41,44,57,35,37,48,16,44,42,25,22,50,21,56,47,55,43,17,46,49,51,55
28,63,46,41,25,41,37,34,36,38,43,47,36,38,55,26,49,46,22,26,50,26,48,44,49,48,22,43,47,49,56
29,59,48,42,26,38,35,38,40,38,46,51,38,32,54,18,46,44,24,22,56,28,49,44,50,50,24,38,49,53,51
30,61,50,43,23,35,40,37,43,37,44,52,40,31,53,26,52,41,19,23,49,32,45,43,45,50,19,40,52,48,58
31,65,41,42,28,29,27,40,42,43,42,55,37,38,53,20,43,44,19,31,55,26,40,46,55,51,23,43,49,51,53
32,62,52,43,25,41,41,37,44,41,44,47,30,25,43,29,43,42,27,21,54,25,47,44,48,48,21,48,55,49,55
33,66,46,48,27,27,38,41,38,40,46,54,38,30,51,23,46,41,27,25,48,21,49,42,51,50,22,43,51,48,54
34,60,41,45,28,37,38,41,39,43,42,47,37,33,51,25,47,40,31,21,46,22,45,42,52,47,20,45,52,54,60
35,64,42,45,25,32,36,38,41,45,46,51,33,43,57,21,47,42,21,30,48,25,47,43,46,49,18,49,46,49,52
36,62,45,48,31,32,37,38,39,44,40,55,41,30,48,26,43,40,24,21,51,31,49,41,48,51,21,42,52,48,53
37,59,48,42,22,37,37,44,35,45,38,51,37,31,49,26,41,41,28,29,53,23,48,51,50,47,25,40,50,49,55
38,63,43,44,24,30,37,36,39,43,41,50,36,38,57,22,49,41,21,25,48,28,49,45,56,53,16,43,47,51,56
39,64,48,45,27,37,37,38,39,39,41,49,30,33,51,25,50,45,29,19,53,23,49,42,57,46,17,46,49,51,52
40,60,52,39,27,30,39,43,43,45,42,50,40,41,50,21,38,42,27,26,54,22,48,45,46,45,23,42,49,53,49
41,63,43,42,33,30,40,39,42,46,47,50,30,38,57,20,44,46,22,18,50,25,46,38,49,51,18,46,53,48,57
42,61,52,45,24,37,40,37,41,44,35,51,37,39,47,26,53,47,20,22,45,20,49,41,48,49,18,44,51,50,58
43,61,47,48,20,38,39,40,40,38,44,50,34,33,46,17,40,47,17,25,55,21,46,48,51,49,28,45,53,54,57
44,63,47,40,26,27,38,37,44,44,39,47,32,35,58,24,47,46,28,24,49,22,49,45,48,50,21,47,50,50,54
45,64,50,47,24,39,34,41,40,42,48,52,33,34,52,19,47,37,22,18,54,24,46,47,50,49,22,40,54,50,52
46,61,47,50,27,39,40,35,38,46,42,45,39,33,46,18,43,44,25,22,53,23,46,41,52,51,26,46,45,52,56
47,65,47,46,24,34,36,35,44,42,47,52,36,33,48,21,41,44,26,28,44,25,48,45,52,51,19,44,49,49,56
