simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
0,68,46,33,29,51,41,49,51,34,38,35,39,29,47,19,45,27,58,52,20,33,26,44,50,58,47,40,47,23,52
1,66,44,26,26,54,44,41,50,34,38,40,40,24,38,24,51,31,53,46,26,35,24,47,51,51,57,50,44,23,53
2,62,52,39,28,53,37,45,61,24,44,30,33,24,51,22,44,33,47,40,23,40,28,38,55,45,54,47,43,28,61
3,60,54,36,31,47,50,39,55,34,31,34,29,22,53,28,46,27,54,45,17,38,26,49,46,54,57,55,45,21,48
4,63,48,34,32,49,51,44,53,33,41,38,32,22,36,16,48,27,53,45,28,38,26,42,51,52,60,51,46,22,50
5,66,44,26,23,51,48,47,54,37,38,37,34,22,45,24,47,29,52,51,29,39,27,35,53,54,47,52,44,26,50
6,64,44,36,30,45,53,42,56,30,37,27,38,22,44,23,45,31,46,44,27,44,27,47,57,45,55,55,49,21,47
7,62,46,35,26,53,39,44,51,36,34,41,38,19,45,29,51,20,60,40,24,42,24,47,58,51,49,50,41,29,47
8,66,41,35,25,50,41,43,53,42,43,31,30,21,46,23,51,28,52,41,25,42,25,42,59,52,57,50,44,19,54
9,63,45,37,26,46,45,49,56,32,38,41,37,28,41,31,53,26,52,35,29,44,21,45,53,51,54,50,43,18,42
10,63,46,39,33,38,56,33,57,32,44,28,45,29,45,23,45,34,57,48,15,45,22,48,48,52,50,46,40,24,46
11,71,45,37,35,49,45,43,58,35,41,41,40,20,40,18,39,29,51,44,25,37,30,39,54,52,55,47,43,19,49
12,61,53,35,36,46,45,43,57,30,53,32,39,23,50,28,39,30,57,41,27,33,22,35,50,43,57,50,39,23,54
13,64,47,34,27,53,49,35,47,38,40,40,44,21,45,19,51,22,55,45,26,41,18,49,53,50,55,53,45,22,43
14,67,44,24,36,51,49,42,52,39,44,46,37,20,42,12,41,29,57,48,24,45,29,38,50,48,46,49,50,26,46
